,25,313,True Value,Runs per Game,Actual Runs,Games,,25 Error,313 Error,,Error Diff,,,,,,,,,,,,,,,,League Average,25 States,313 States,True Value,,,-0.016665089
ANA,0.450309,0.432931,0.427297668,3.845679012,623,162,,0.023011332,0.005633332,N,0.017378,,Avg:,0.031472455,0.007530803,0.023941652,,7.452966034,,,,,,,,,,0.5,0.482,0.475994513,,,-0.00737
ARI,0.527033,0.479982,0.481481481,4.333333333,702,162,,0.045551519,0.001499481,N,0.044052037,,Sd:,0.016417878,0.006437224,0.017594851,,,,,,,,,,,,,,,,,-0.001780089
ATL,0.576921,0.549179,0.541152263,4.87037037,789,162,,0.035768737,0.008026737,N,0.027742,,Sd Sq:,0.000269547,4.14379E-05,,,,,,,,,,,,,729,702.756,694,,,0.004739
BAL,0.511532,0.471676,0.462277092,4.160493827,674,162,,0.049254908,0.009398908,N,0.039856,,Ratio:,6.504842593,,,,,,,,,,,,,,,,,,,0.004831189
BOS,0.481093,0.504634,0.504115226,4.537037037,735,162,,0.023022226,0.000518774,N,0.022503453,,,,,,,,,,,,,,,,,,,,,,0.009465
CHA,0.472036,0.467199,0.470507545,4.234567901,686,162,,0.001528455,0.003308545,Y,-0.001780089,,,,,,,,,,,,,,,,,,,,,,0.01250651
CHN,0.503476,0.442073,0.450617284,4.055555556,657,162,,0.052858716,0.008544284,N,0.044314432,,,,,,,,,,,,,,,,,,,,,,0.016947
CIN,0.470677,0.452326,0.444444444,4,648,162,,0.026232556,0.007881556,N,0.018351,,,,,,,,,,,,,,,,,,,,,,0.017378
CLE,0.505077,0.478207,0.478737997,4.308641975,698,162,,0.026339003,0.000530997,N,0.025808005,,,,,,,,,,,,,,,,,,,,,,0.018076
COL,0.459161,0.476108,0.478737997,4.308641975,698,162,,0.019576997,0.002629997,N,0.016947,,,,,,,,,,,,,,,,,,,,,,0.018351
DET,0.35349,0.38688,0.382030178,3.438271605,557,162,,0.028540178,0.004849822,N,0.023690357,,,,,,,,,,,,,,,,,,,,,,0.019515
HOU,0.548505,0.517707,0.505486968,4.549382716,737,162,,0.043018032,0.012220032,N,0.030798,,,,,,,,,,,,,,,,,,,,,,0.020682753
KCA,0.462547,0.457808,0.438957476,3.950617284,640,162,,0.023589524,0.018850524,N,0.004739,,,,,,,,,,,,,,,,,,,,,,0.020923
LAN,0.603506,0.610876,0.580932785,5.228395062,847,162,,0.022573215,0.029943215,Y,-0.00737,,,,,,,,,,,,,,,,,,,,,,0.021521
MIA,0.462247,0.404417,0.401920439,3.617283951,586,162,,0.060326561,0.002496561,N,0.05783,,,,,,,,,,,,,,,,,,,,,,0.022503453
MIL,0.54495,0.505192,0.497256516,4.475308642,725,162,,0.047693484,0.007935484,N,0.039758,,,,,,,,,,,,,,,,,,,,,,0.023690357
MIN,0.464798,0.477428,0.477366255,4.296296296,696,162,,0.012568255,6.17449E-05,N,0.01250651,,,,,,,,,,,,,,,,,,,,,,0.02562
NYA,0.605279,0.562855,0.553497942,4.981481481,807,162,,0.051781058,0.009357058,N,0.042424,,,,,,,,,,,,,,,,,,,,,,0.025808005
NYN,0.525515,0.550135,0.529492455,4.765432099,772,162,,0.003977455,0.020642545,Y,-0.016665089,,,,,,,,,,,,,,,,,,,,,,0.027742
OAK,0.413326,0.39525,0.38957476,3.50617284,568,162,,0.02375124,0.00567524,N,0.018076,,,,,,,,,,,,,,,,,,,,,,0.030798
PHI,0.546224,0.525301,0.512345679,4.611111111,747,162,,0.033878321,0.012955321,N,0.020923,,,,,,,,,,,,,,,,,,,,,,0.035231
PIT,0.445026,0.409795,0.405349794,3.648148148,591,162,,0.039676206,0.004445206,N,0.035231,,,,,,,,,,,,,,,,,,,,,,0.039758
SDN,0.47626,0.485987,0.483539095,4.351851852,705,162,,0.007279095,0.002447905,N,0.004831189,,,,,,,,,,,,,,,,,,,,,,0.039856
SEA,0.525235,0.481281,0.473251029,4.259259259,690,162,,0.051983971,0.008029971,N,0.043954,,,,,,,,,,,,,,,,,,,,,,0.042424
SFN,0.516767,0.497252,0.491083676,4.419753086,716,162,,0.025683324,0.006168324,N,0.019515,,,,,,,,,,,,,,,,,,,,,,0.043954
SLN,0.56339,0.53777,0.529492455,4.765432099,772,162,,0.033897545,0.008277545,N,0.02562,,,,,,,,,,,,,,,,,,,,,,0.044052037
TBA,0.482506,0.451757,0.456790123,4.111111111,666,162,,0.025715877,0.005033123,N,0.020682753,,,,,,,,,,,,,,,,,,,,,,0.044314432
TEX,0.55012,0.494572,0.484910837,4.364197531,707,162,,0.065209163,0.009661163,N,0.055548,,,,,,,,,,,,,,,,,,,,,,0.055548
TOR,0.545508,0.536043,0.531550069,4.783950617,775,162,,0.013957931,0.004492931,N,0.009465,,,,,,,,,,,,,,,,,,,,,,0.05783
WAS,0.439509,0.417988,0.413580247,3.722222222,603,162,,0.025928753,0.004407753,N,0.021521,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 Percent Error,313 Percent Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA,5.385316533,1.31836244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,9.4607,0.311430769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,6.609736122,1.483267681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL,10.6548451,2.033176261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,4.566857959,0.102907755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,0.324852478,0.703186297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,11.73029041,1.896128767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN,5.902325,1.77335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,5.501757307,0.110916046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,4.08929255,0.549360458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,7.470660682,1.269486535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,8.510215739,2.417477069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCA,5.373988438,4.294385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAN,3.885684534,5.154333884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,15.00957782,0.62115802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,9.591324138,1.595853241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,2.632832759,0.012934483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYA,9.355239405,1.690531599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYN,0.751182642,3.898553109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAK,6.096709155,1.456778169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,6.612395181,2.528628916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIT,9.788140102,1.096634518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDN,1.505378723,0.50624766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA,10.98443913,1.696767826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFN,5.229928212,1.256063687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLN,6.401893782,1.563297927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBA,5.629691892,1.101845946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEX,13.44766054,1.992358699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,2.625892129,0.845250839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,6.269340299,1.065755224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
